Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
F-Junioren Kreisturnier: TuS Scheiden - SV Besch 1,18.07.2015,11:20,18.07.2015,12:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: TuS Scheiden - SV Besch 1, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SpVgg Merzig - SV Losheim,18.07.2015,11:40,18.07.2015,13:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SpVgg Merzig - SV Losheim, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: FV Fischbach - 1.FC Schmelz 2,18.07.2015,11:40,18.07.2015,13:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: FV Fischbach - 1.FC Schmelz 2, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - SV Besch 2,18.07.2015,12:00,18.07.2015,13:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - SV Besch 2, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SF Rehlingen - TuS Scheiden,18.07.2015,12:00,18.07.2015,13:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SF Rehlingen - TuS Scheiden, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Besch 1 - SpVgg Merzig,18.07.2015,12:20,18.07.2015,13:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Besch 1 - SpVgg Merzig, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SF Heidstock - FV Fischbach,18.07.2015,12:20,18.07.2015,13:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SF Heidstock - FV Fischbach, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: 1.FC Schmelz 2 - SV Besch 2,18.07.2015,12:40,18.07.2015,14:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: 1.FC Schmelz 2 - SV Besch 2, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: TuS Scheiden - SV Losheim,18.07.2015,12:40,18.07.2015,14:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: TuS Scheiden - SV Losheim, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SF Heidstock - SV Wahlen-Niederlosheim,18.07.2015,13:00,18.07.2015,14:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SF Heidstock - SV Wahlen-Niederlosheim, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Besch 1 - SF Rehlingen,18.07.2015,13:00,18.07.2015,14:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Besch 1 - SF Rehlingen, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
D-Junioren Kreisturnier: JFG Hochwald Losheim - SG SV Merchweiler,18.07.2015,14:00,18.07.2015,15:30,false,"Saison 14/15 Turnier D-Junioren Kreisturnier: JFG Hochwald Losheim - SG SV Merchweiler, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
D-Junioren Kreisturnier: JFG Saarschleife - SV Elversberg,18.07.2015,14:50,18.07.2015,16:20,false,"Saison 14/15 Turnier D-Junioren Kreisturnier: JFG Saarschleife - SV Elversberg, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
